                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1      6.33     6.385

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
Binaryrepart........      1         0  0.002316         0  0.002316         0  0.002316
Boundingbox.........      1      0.04   0.08121      0.04   0.08121      0.04   0.08121
Create Distr........      1      0.01  0.006037      0.01  0.006037      0.01  0.006037
Fast inside test....      1         0         0         0         0         0         0
Fieldeval...........      1      2.46       2.6      2.46       2.6      2.46       2.6
H5PartTimer.........      1         0  0.007746         0  0.007746         0  0.007746
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
Secondary emission..      1         0         0         0         0         0         0
SelfField total.....      1         0  0.005295         0  0.005295         0  0.005295
SF: Potential.......      1         0         0         0         0         0         0
Statistics..........      1      0.64    0.6672      0.64    0.6672      0.64    0.6672
StatMarkerTimer.....      1      0.03   0.03079      0.03   0.03079      0.03   0.03079
TIntegration1.......      1      1.11     1.129      1.11     1.129      1.11     1.129
TIntegration1Push...      1      1.08      1.06      1.08      1.06      1.08      1.06
TIntegration2.......      1      2.09     1.918      2.09     1.918      2.09     1.918
TIntegration2Push...      1      1.18     1.045      1.18     1.045      1.18     1.045
WakeField...........      1         0         0         0         0         0         0
