                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      1         2      2.04

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
Binaryrepart........      1         0  0.000349         0  0.000349         0  0.000349
Boundingbox.........      1      0.05   0.01693      0.05   0.01693      0.05   0.01693
Create Distr........      1      0.03   0.03103      0.03   0.03103      0.03   0.03103
Fast inside test....      1         0         0         0         0         0         0
Fieldeval...........      1      0.55    0.5149      0.55    0.5149      0.55    0.5149
H5PartTimer.........      1      0.06   0.09594      0.06   0.09594      0.06   0.09594
Histogram...........      1         0         0         0         0         0         0
Initialize geometry.      1         0         0         0         0         0         0
Inside test.........      1         0         0         0         0         0         0
Load Distr..........      1         0         0         0         0         0         0
Particle Inside.....      1         0         0         0         0         0         0
Ray tracing.........      1         0         0         0         0         0         0
Secondary emission..      1         0         0         0         0         0         0
SelfField total.....      1         0  0.003335         0  0.003335         0  0.003335
SF: Potential.......      1         0         0         0         0         0         0
Statistics..........      1      0.14    0.1383      0.14    0.1383      0.14    0.1383
StatMarkerTimer.....      1      0.12   0.07825      0.12   0.07825      0.12   0.07825
TIntegration1.......      1      0.16    0.2318      0.16    0.2318      0.16    0.2318
TIntegration1Push...      1      0.11    0.2136      0.11    0.2136      0.11    0.2136
TIntegration2.......      1      0.42    0.3996      0.42    0.3996      0.42    0.3996
TIntegration2Push...      1      0.22    0.2085      0.22    0.2085      0.22    0.2085
WakeField...........      1      0.55    0.5572      0.55    0.5572      0.55    0.5572
