mainTimer........... 	 1 	 6.21 	 8.08972 	 0 	 0 	 0 	 0
Secondary emission.. 	 1 	 0 	 0 	 0 	 0 	 0 	 0
Particle Inside..... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
zshiftPre Processing 	 1 	 0 	 0 	 0 	 0 	 0 	 0
Ray tracing......... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
Check inward........ 	 1 	 0 	 0 	 0 	 0 	 0 	 0
Pre Processing...... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
SelfField........... 	 1 	 0.2 	 0.197293 	 0.2 	 0.197293 	 0.2 	 0.197293
Boundingbox......... 	 1 	 0.29 	 0.284883 	 0.29 	 0.284883 	 0.29 	 0.284883
Statistics.......... 	 1 	 0.51 	 0.442123 	 0.51 	 0.442123 	 0.51 	 0.442123
Potential........... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
Histogram........... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
CreatDistr.......... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
LoadDistr........... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
H5PartTimer......... 	 1 	 1.06 	 2.37195 	 1.06 	 2.37195 	 1.06 	 2.37195
H5BlockTimer........ 	 1 	 0 	 0 	 0 	 0 	 0 	 0
StatMarkerTimer..... 	 1 	 0.67 	 0.878725 	 0.67 	 0.878725 	 0.67 	 0.878725
TIntegration1....... 	 1 	 5.39 	 7.05384 	 5.39 	 7.05384 	 5.39 	 7.05384
TIntegration2....... 	 1 	 5.38 	 7.04846 	 5.38 	 7.04846 	 5.38 	 7.04846
Fieldeval........... 	 1 	 0.61 	 0.570977 	 0.61 	 0.570977 	 0.61 	 0.570977
Binaryrepart........ 	 1 	 0 	 0.000171 	 0 	 0.000171 	 0 	 0.000171
WakeField........... 	 1 	 0 	 0 	 0 	 0 	 0 	 0
