                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      4      7.99     8.192

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
AP: field evaluatio.      4         0   0.00032         0         0         0     8e-05
AP: time integratio.      4         0  0.000539         0         0         0 0.0001348
Binaryrepart........      4         0         0         0         0         0         0
Boundingbox.........      4      0.06   0.04753      0.03   0.04731    0.0425   0.04742
ComputePotential....      4      2.71     2.651      2.05     2.647      2.48      2.65
Create Distr........      4      0.11    0.1061       0.1    0.1061    0.1075    0.1061
Fast inside test....      4         0         0         0         0         0         0
Fieldeval...........      4      0.23    0.2294      0.14    0.2257    0.1975    0.2281
H5PartTimer.........      4      0.02   0.02987      0.01   0.02984    0.0175   0.02985
Histogram...........      4         0         0         0         0         0         0
Initialize geometry.      4         0         0         0         0         0         0
Inside test.........      4         0         0         0         0         0         0
Load Distr..........      4         0         0         0         0         0         0
Particle Inside.....      4         0         0         0         0         0         0
Ray tracing.........      4         0         0         0         0         0         0
RC-CC1Dfft..........      4      0.79    0.7395      0.52    0.6421     0.645    0.6867
RC-CCtranspose......      4       1.6     1.576       1.3     1.512     1.463     1.546
RC-RC1Dfft..........      4      0.53     0.519      0.39    0.5089      0.48    0.5156
RC-RRtranspose......      4      0.61    0.4959      0.35    0.4533    0.4775    0.4704
RC-total............      4      3.26     3.334      2.97     3.208     3.107     3.287
Secondary emission..      4         0         0         0         0         0         0
SelfField total.....      4      7.19     7.309      7.09     7.304     7.132     7.307
SF: GreensFTotal....      4      3.63      3.48      3.29     3.455      3.46     3.464
SF: IntGreenF1......      4      0.69    0.5985      0.39    0.5033    0.5675    0.5468
SF: IntGreenF2......      4      0.39    0.3244      0.19    0.1659      0.24    0.2409
SF: IntGreenF3......      4      0.62    0.5918      0.34    0.5641    0.5025    0.5786
SF: MirrorRho1......      4      0.18     0.114      0.06   0.07709     0.095   0.09384
SF: MirrorRho2......      4      0.27    0.1941      0.07     0.144    0.1675    0.1682
SF: Potential.......      4      5.81     5.859      5.51      5.85      5.66     5.855
SF: ShIntGreenF1....      4      0.57    0.5053      0.32    0.4179    0.4425    0.4554
SF: ShIntGreenF2....      4      0.55     0.485       0.4    0.3938    0.4525     0.436
SF: ShIntGreenF3....      4      0.44    0.4607      0.21    0.2167    0.3375    0.3397
SF: ShIntGreenF4....      4       0.8    0.6001      0.53    0.5816     0.635    0.5897
Statistics..........      4      0.09   0.05794         0   0.05517    0.0525    0.0567
StatMarkerTimer.....      4      0.07   0.03547         0  0.005966    0.0225   0.01337
TIntegration1.......      4      0.17    0.1097      0.07    0.1094      0.11    0.1095
TIntegration1Push...      4      0.14   0.08036      0.06   0.08007      0.09   0.08017
TIntegration2.......      4      0.18    0.1456      0.14    0.1454    0.1625    0.1455
TIntegration2Push...      4      0.15   0.07913      0.06   0.07895     0.095   0.07906
WakeField...........      4         0         0         0         0         0         0
