                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      4     34.55     34.84

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
Binaryrepart........      4         0         0         0         0         0         0
Boundingbox.........      4       1.8     1.794      1.55     1.678     1.665     1.735
Create Distr........      4      0.47    0.4812      0.47    0.4809      0.47     0.481
Fast inside test....      4         0         0         0         0         0         0
Fieldeval...........      4      4.55     4.652      1.31     1.195     2.845     2.916
H5PartTimer.........      4      0.03   0.06332      0.01   0.06331      0.02   0.06332
Histogram...........      4         0         0         0         0         0         0
Initialize geometry.      4         0         0         0         0         0         0
Inside test.........      4         0         0         0         0         0         0
Load Distr..........      4         0         0         0         0         0         0
Particle Inside.....      4         0         0         0         0         0         0
Ray tracing.........      4         0         0         0         0         0         0
Secondary emission..      4         0         0         0         0         0         0
SelfField total.....      4      0.35    0.3788      0.17    0.1324     0.255    0.2595
SF: Potential.......      4         0         0         0         0         0         0
Statistics..........      4      3.18     3.323       2.2     2.145     2.647     2.723
StatMarkerTimer.....      4      0.04   0.03008         0   0.00632      0.01   0.01227
TIntegration1.......      4      4.12      4.05      3.93      4.05     3.995      4.05
TIntegration1Push...      4       3.2     3.229      3.16     3.148      3.18     3.189
TIntegration2.......      4      5.91     5.777      5.69     5.673     5.762     5.726
TIntegration2Push...      4      3.37     3.257      3.21     3.165      3.27     3.212
WakeField...........      4         0         0         0         0         0         0
