                  num Nodes   CPU tot  Wall tot
===============================================
mainTimer...........      4     28.43     28.61

                  num Nodes   CPU max  Wall max   CPU min  Wall min   CPU avg  Wall avg
=======================================================================================
AP: field evaluatio.      4         0  0.000863         0         0         0 0.0002158
AP: time integratio.      4         0  0.004439         0         0         0   0.00111
Binaryrepart........      4      0.03   0.03646      0.03    0.0364      0.03   0.03644
Boundingbox.........      4      0.15    0.1112       0.1    0.1099      0.12    0.1107
ComputePotential....      4      8.87     8.632      8.25     8.618     8.665     8.626
Create Distr........      4       0.1    0.0974       0.1   0.09734       0.1   0.09737
Fast inside test....      4         0         0         0         0         0         0
Fieldeval...........      4       0.6    0.6166      0.51    0.5484    0.5425    0.5767
H5PartTimer.........      4      0.03   0.03052      0.01   0.03047    0.0175   0.03049
Histogram...........      4         0         0         0         0         0         0
Initialize geometry.      4         0         0         0         0         0         0
Inside test.........      4         0         0         0         0         0         0
Load Distr..........      4         0         0         0         0         0         0
Particle Inside.....      4         0         0         0         0         0         0
Ray tracing.........      4         0         0         0         0         0         0
RC-CC1Dfft..........      4      2.53     2.504      2.21     2.154     2.352     2.326
RC-CCtranspose......      4      5.04     5.039      4.74     4.823     4.917     4.941
RC-RC1Dfft..........      4      1.99     1.754      1.62     1.718     1.745     1.741
RC-RRtranspose......      4      1.64     1.582      1.32      1.43     1.443     1.498
RC-total............      4     10.92      10.9     10.43     10.44     10.66     10.73
Secondary emission..      4         0         0         0         0         0         0
SelfField total.....      4     23.47     23.36     23.19     23.27     23.36     23.32
SF: GreensFTotal....      4     11.45     11.35     11.17     11.24     11.32     11.28
SF: IntGreenF1......      4      2.06     2.029      1.78     1.709       1.9      1.85
SF: IntGreenF2......      4         1     1.029      0.58    0.5276    0.7925      0.77
SF: IntGreenF3......      4      1.94     1.926      1.89     1.846     1.918     1.889
SF: MirrorRho1......      4      0.37    0.3303      0.21    0.2445    0.2775    0.2834
SF: MirrorRho2......      4      0.56    0.5782      0.38    0.4603    0.4725    0.5156
SF: Potential.......      4     19.06     18.97     18.75     18.94      18.9     18.96
SF: ShIntGreenF1....      4      1.58     1.671      1.32     1.404     1.448     1.518
SF: ShIntGreenF2....      4      1.63     1.601      1.35     1.309      1.48      1.45
SF: ShIntGreenF3....      4      1.35     1.409      0.74    0.6707    0.9975     1.037
SF: ShIntGreenF4....      4      2.07      1.96      1.94     1.894      1.99     1.923
Statistics..........      4      0.22    0.2217      0.15    0.2085     0.185    0.2176
StatMarkerTimer.....      4      0.12    0.1135      0.01   0.01568      0.04   0.04023
TIntegration1.......      4      0.52    0.4062      0.36    0.4054      0.42    0.4057
TIntegration1Push...      4      0.41    0.3111      0.26    0.3101    0.3125    0.3105
TIntegration2.......      4      0.56    0.5503      0.45    0.5487    0.4975    0.5493
TIntegration2Push...      4      0.35    0.3031      0.28    0.3015       0.3    0.3022
WakeField...........      4         0         0         0         0         0         0
